accuracy_score,balanced_accuracy_score,recall_score,precision_score,f1_score,confusion_matrix,round_number,site_number
0.67018779342723,0.6721090261763987,0.6922677737415672,0.6216216216216216,0.6550454210655536,"[[1521  812]
 [ 593 1334]]",1,1
0.6683384212821631,0.6621970825218619,0.5637209302325581,0.675208913649025,0.6144486692015209,"[[1853  583]
 [ 938 1212]]",1,2
0.6697965571205008,0.6743739073593289,0.7452198852772467,0.6228525769077108,0.678563656147987,"[[1437  944]
 [ 533 1559]]",1,3
0.6719828612235182,0.6677973221604385,0.5903371917463512,0.6753022452504318,0.629967776584318,"[[1650  564]
 [ 814 1173]]",1,4
0.6768707482993197,0.671369335878904,0.578477243726074,0.6854838709677419,0.6274509803921569,"[[2023  624]
 [ 991 1360]]",1,5
0.6767605633802817,0.6663245983765343,0.5568240788790867,0.6723057644110275,0.6091399375532217,"[[1810  523]
 [ 854 1073]]",2,1
0.6665939816833842,0.6637222667735899,0.6176744186046511,0.6525798525798526,0.6346475507765831,"[[1729  707]
 [ 822 1328]]",2,2
0.6742678291974067,0.6719305480047186,0.635755258126195,0.6567901234567901,0.6461015302404663,"[[1686  695]
 [ 762 1330]]",2,3
0.6717448226612711,0.6657654837746163,0.5551082033215904,0.6902377972465582,0.6153417015341701,"[[1719  495]
 [ 884 1103]]",2,4
0.6762705082032813,0.6741797532643312,0.6388770735857082,0.6613826508146191,0.6499350930333189,"[[1878  769]
 [ 849 1502]]",2,5
0.6607981220657277,0.6530605639933883,0.5718733783082511,0.6399535423925667,0.6040010961907372,"[[1713  620]
 [ 825 1102]]",3,1
0.6689925861317052,0.6651063504792454,0.6027906976744186,0.6612244897959184,0.6306569343065693,"[[1772  664]
 [ 854 1296]]",3,2
0.6458752515090543,0.6428532567015963,0.5960803059273423,0.6278952668680765,0.6115743011280039,"[[1642  739]
 [ 845 1247]]",3,3
0.6872173292073316,0.6825604005075447,0.5963764469048818,0.6982911019446081,0.6433224755700325,"[[1702  512]
 [ 802 1185]]",3,4
0.6662665066026411,0.6620239086744109,0.5903870693321991,0.6631629240324892,0.6246624662466247,"[[1942  705]
 [ 963 1388]]",3,5
0.6821596244131456,0.67256335010569,0.5718733783082511,0.6756591048436542,0.6194491287240023,"[[1804  529]
 [ 825 1102]]",4,1
0.6580898386393371,0.6559084660327643,0.6209302325581395,0.639367816091954,0.6300141576215196,"[[1683  753]
 [ 815 1335]]",4,2
0.6624189581936061,0.658857104884671,0.6037284894837476,0.6496913580246914,0.6258671952428145,"[[1700  681]
 [ 829 1263]]",4,3
0.6736491311592478,0.6721903756531274,0.6451937594363362,0.6581108829568788,0.6515883100381195,"[[1548  666]
 [ 705 1282]]",4,4
0.6646658663465386,0.6663870095548888,0.6954487452148023,0.630057803468208,0.661140315406389,"[[1687  960]
 [ 716 1635]]",4,5
0.671830985915493,0.6615078749851803,0.5531914893617021,0.6650031191515907,0.6039660056657224,"[[1796  537]
 [ 861 1066]]",5,1
0.6530745747928478,0.6429146141215107,0.48,0.6857142857142857,0.5647058823529412,"[[1963  473]
 [1118 1032]]",5,2
0.6583948133243908,0.6593126311469947,0.6735181644359465,0.6251109139307897,0.6484123331799355,"[[1536  845]
 [ 683 1409]]",5,3
0.6481790049988098,0.6424273586805656,0.5359838953195772,0.6570018507094386,0.5903547671840355,"[[1658  556]
 [ 922 1065]]",5,4
0.6712685074029612,0.6652241641099279,0.5631646108039132,0.6824742268041237,0.6171055697972501,"[[2031  616]
 [1027 1324]]",5,5
