accuracy_score,balanced_accuracy_score,recall_score,precision_score,f1_score,confusion_matrix,round_number,db_number
0.6666666666666666,0.5916666666666667,0.26666666666666666,0.6666666666666666,0.3809523809523809,"[[44  4]
 [22  8]]",1,1
0.5903614457831325,0.5758720930232558,0.175,0.875,0.29166666666666663,"[[42  1]
 [33  7]]",1,2
0.5416666666666666,0.585759244689221,0.2682926829268293,0.7857142857142857,0.39999999999999997,"[[28  3]
 [30 11]]",1,3
0.68,0.6461038961038961,0.36363636363636365,0.8,0.5000000000000001,"[[39  3]
 [21 12]]",1,4
0.5176470588235295,0.49722222222222223,0.15,0.46153846153846156,0.22641509433962265,"[[38  7]
 [34  6]]",1,5
0.6323529411764706,0.6242263483642794,0.5689655172413793,0.5689655172413793,0.5689655172413793,"[[53 25]
 [25 33]]",2,1
0.6086956521739131,0.5975274725274725,0.4807692307692308,0.5813953488372093,0.5263157894736843,"[[45 18]
 [27 25]]",2,2
0.6949152542372882,0.6724505327245053,0.5777777777777777,0.6046511627906976,0.5909090909090908,"[[56 17]
 [19 26]]",2,3
0.6730769230769231,0.6373537716821298,0.5135135135135135,0.5428571428571428,0.5277777777777778,"[[51 16]
 [18 19]]",2,4
0.672,0.6555293501048218,0.5471698113207547,0.6304347826086957,0.5858585858585859,"[[55 17]
 [24 29]]",2,5
0.72,0.7185897435897436,0.6833333333333333,0.7192982456140351,0.7008547008547009,"[[49 16]
 [19 41]]",3,1
0.5960264900662252,0.5940463645943098,0.5342465753424658,0.5909090909090909,0.5611510791366907,"[[51 27]
 [34 39]]",3,2
0.6503496503496503,0.645021645021645,0.5757575757575758,0.6333333333333333,0.6031746031746033,"[[55 22]
 [28 38]]",3,3
0.6016949152542372,0.6363636363636364,0.5,0.7872340425531915,0.6115702479338844,"[[34 10]
 [37 37]]",3,4
0.6787878787878788,0.6759398496240602,0.6571428571428571,0.6133333333333333,0.6344827586206896,"[[66 29]
 [24 46]]",3,5
0.7102272727272727,0.6970110461338532,0.5308641975308642,0.7678571428571429,0.6277372262773723,"[[82 13]
 [38 43]]",4,1
0.6171428571428571,0.608615707906488,0.49382716049382713,0.6060606060606061,0.54421768707483,"[[68 26]
 [41 40]]",4,2
0.6851851851851852,0.6679236570724949,0.4931506849315068,0.72,0.5853658536585366,"[[75 14]
 [37 36]]",4,3
0.6851851851851852,0.6962530712530712,0.5681818181818182,0.7936507936507936,0.6622516556291391,"[[61 13]
 [38 50]]",4,4
0.5748792270531401,0.569023569023569,0.43434343434343436,0.5733333333333334,0.4942528735632184,"[[76 32]
 [56 43]]",4,5
0.6019900497512438,0.6057063602139885,0.4563106796116505,0.6619718309859155,0.5402298850574713,"[[74 24]
 [56 47]]",5,1
0.6020408163265306,0.603457252941789,0.46464646464646464,0.647887323943662,0.5411764705882354,"[[72 25]
 [53 46]]",5,2
0.5857142857142857,0.578125,0.4895833333333333,0.5529411764705883,0.5193370165745856,"[[76 38]
 [49 47]]",5,3
0.5707070707070707,0.5601851851851851,0.4444444444444444,0.5333333333333333,0.4848484848484848,"[[73 35]
 [50 40]]",5,4
0.6343612334801763,0.6358695652173914,0.5217391304347826,0.6818181818181818,0.5911330049261083,"[[84 28]
 [55 60]]",5,5
