accuracy_score,balanced_accuracy_score,recall_score,precision_score,f1_score,confusion_matrix,round_number,site_number
0.6785069235400362,0.6644060930157187,0.5523415977961432,0.6573770491803279,0.6002994011976047,"[[726 209]
 [325 401]]",1,1
0.6890801506186122,0.6820739343995157,0.5883720930232558,0.6931506849315069,0.6364779874213837,"[[775 224]
 [354 506]]",1,2
0.669683257918552,0.660593643644491,0.5919165580182529,0.6262068965517241,0.6085790884718499,"[[730 271]
 [313 454]]",1,3
0.6804556354916067,0.6723223769364266,0.5875331564986738,0.6661654135338346,0.6243833685694152,"[[692 222]
 [311 443]]",1,4
0.68,0.6696904194832817,0.5944380069524913,0.638854296388543,0.6158463385354142,"[[847 290]
 [350 513]]",1,5
0.6731665960152607,0.6562314600616017,0.5120076849183477,0.6695979899497487,0.5802939575394666,"[[1055  263]
 [ 508  533]]",2,1
0.6846456692913386,0.6763097444789923,0.5532094594594594,0.7065803667745415,0.620558976788252,"[[1084  272]
 [ 529  655]]",2,2
0.6864820846905537,0.6721332099907493,0.5522664199814986,0.6761041902604756,0.6079429735234215,"[[1089  286]
 [ 484  597]]",2,3
0.6903197547087166,0.6801484671370495,0.5518553758325404,0.7107843137254902,0.6213176218532404,"[[996 236]
 [471 580]]",2,4
0.6871850251979842,0.6751753415320664,0.5752864157119476,0.6676163342830009,0.618021978021978,"[[1206  350]
 [ 519  703]]",2,5
0.6900505902192243,0.6755340125028515,0.555640828856485,0.6804511278195489,0.6117448246725812,"[[1322  340]
 [ 579  724]]",3,1
0.6916666666666667,0.6839442834615646,0.5712392312789927,0.7100494233937397,0.6331252295262577,"[[1379  352]
 [ 647  862]]",3,2
0.679757343550447,0.6707721947203884,0.5750528541226215,0.6710526315789473,0.6193548387096774,"[[1313  400]
 [ 603  816]]",3,3
0.6901650618982118,0.6821252622925018,0.5707931801334322,0.7051282051282052,0.6308889799262598,"[[1237  322]
 [ 579  770]]",3,4
0.6940469376073268,0.6872924268866678,0.61489898989899,0.6796929518492673,0.6456745111037455,"[[1451  459]
 [ 610  974]]",3,5
0.7064042140282784,0.7026392456369752,0.6652281134401973,0.6764890282131661,0.6708113148896488,"[[1469  516]
 [ 543 1079]]",4,1
0.7053548552395593,0.7026970061169211,0.6635514018691588,0.6916905444126075,0.6773288439955107,"[[1546  538]
 [ 612 1207]]",4,2
0.6901041666666666,0.6891646711334947,0.6772187676653476,0.6593285635663181,0.668153931957613,"[[1452  619]
 [ 571 1198]]",4,3
0.7047805423539278,0.7018486278462455,0.653960690887433,0.6980292434837889,0.6752767527675277,"[[1423  475]
 [ 581 1098]]",4,4
0.7051585423568386,0.704141285484385,0.690537084398977,0.6780512305374183,0.6842372022301064,"[[1630  641]
 [ 605 1350]]",4,5
0.6969483568075118,0.6928835856378919,0.6502335236118318,0.6700534759358289,0.6599947326836976,"[[1716  617]
 [ 674 1253]]",5,1
0.7034452682075883,0.7002942299614312,0.6497674418604651,0.6971057884231537,0.672604718343765,"[[1829  607]
 [ 753 1397]]",5,2
0.6930471719204113,0.6909626721423507,0.6586998087954111,0.676485027000491,0.6674739646403487,"[[1722  659]
 [ 714 1378]]",5,3
0.6988812187574387,0.69584514793311,0.6396577755410167,0.6983516483516483,0.6677173627528238,"[[1665  549]
 [ 716 1271]]",5,4
0.7064825930372148,0.7047478932113704,0.6754572522330923,0.6928446771378709,0.6840404910618135,"[[1943  704]
 [ 763 1588]]",5,5
