accuracy_score,balanced_accuracy_score,recall_score,precision_score,f1_score,confusion_matrix,round_number,site_number
0.6736905478627333,0.6502754820936639,0.4641873278236915,0.6877551020408164,0.5542763157894737,"[[782 153]
 [389 337]]",1,1
0.6761699838622915,0.6620533324021696,0.47325581395348837,0.7320143884892086,0.574858757062147,"[[850 149]
 [453 407]]",1,2
0.6747737556561086,0.6535075094397128,0.49282920469361147,0.6702127659574468,0.5679939894815927,"[[815 186]
 [389 378]]",1,3
0.6720623501199041,0.6547965917731254,0.47480106100795755,0.7033398821218074,0.5669041963578781,"[[763 151]
 [396 358]]",1,4
0.6655,0.6445113332130763,0.49130938586326767,0.6483180428134556,0.5589980224126565,"[[907 230]
 [439 424]]",1,5
0.6884272997032641,0.6852321145624247,0.6580211335254563,0.643796992481203,0.65083135391924,"[[939 379]
 [356 685]]",2,1
0.6988188976377953,0.6972439807063702,0.6739864864864865,0.6779949022939677,0.6759847522236341,"[[977 379]
 [386 798]]",2,2
0.6921824104234527,0.6928500546631906,0.6984273820536541,0.6371308016877637,0.6663724624889673,"[[945 430]
 [326 755]]",2,3
0.7021462987297415,0.7005418463553572,0.6803044719314938,0.6751652502360718,0.6777251184834123,"[[888 344]
 [336 715]]",2,4
0.6990640748740101,0.7003589925908473,0.7111292962356792,0.6427514792899408,0.6752136752136753,"[[1073  483]
 [ 353  869]]",2,5
0.705902192242833,0.6936522031450147,0.59247889485802,0.6936208445642408,0.6390728476821191,"[[1321  341]
 [ 531  772]]",3,1
0.6891975308641975,0.6823558935238943,0.5825049701789264,0.6998407643312102,0.6358047016274865,"[[1354  377]
 [ 630  879]]",3,2
0.6861430395913155,0.6786660643826774,0.5990133897110641,0.6724683544303798,0.633619083115915,"[[1299  414]
 [ 569  850]]",3,3
0.6973865199449794,0.6907575563777316,0.5989621942179392,0.7044463818657367,0.6474358974358974,"[[1220  339]
 [ 541  808]]",3,4
0.6920435031482541,0.6852983367708498,0.6130050505050505,0.6771269177126917,0.6434724983432738,"[[1447  463]
 [ 613  971]]",3,5
0.6939284724147491,0.6838067255339833,0.5832305795314426,0.6885007278020379,0.6315086782376503,"[[1557  428]
 [ 676  946]]",4,1
0.6887009992313605,0.6811949258150531,0.5706432105552501,0.7051630434782609,0.6308113035551505,"[[1650  434]
 [ 781 1038]]",4,2
0.6864583333333333,0.6801380282066897,0.5997738835500283,0.6814386640976237,0.6380036079374625,"[[1575  496]
 [ 708 1061]]",4,3
0.698909700866648,0.6932583497503092,0.6009529481834425,0.7125706214689266,0.6520193861066236,"[[1491  407]
 [ 670 1009]]",4,4
0.6999526739233317,0.694101880600612,0.6158567774936061,0.6995932597327136,0.6550598476605006,"[[1754  517]
 [ 751 1204]]",4,5
0.680281690140845,0.6642562845177749,0.49610793980280227,0.7097253155159614,0.5839951130116066,"[[1942  391]
 [ 971  956]]",5,1
0.6698648059310947,0.6594837132928553,0.4930232558139535,0.7142857142857143,0.5833791964777105,"[[2012  424]
 [1090 1060]]",5,2
0.6718086295551084,0.6625711797427531,0.5195984703632888,0.7012903225806452,0.5969247666117518,"[[1918  463]
 [1005 1087]]",5,3
0.6772197095929541,0.6684570985115992,0.5062908907901359,0.7284576393917451,0.5973871733966746,"[[1839  375]
 [ 981 1006]]",5,4
0.6842737094837935,0.6755282779619216,0.5278604849000426,0.7261556465769455,0.6113300492610838,"[[2179  468]
 [1110 1241]]",5,5
