accuracy_score,balanced_accuracy_score,recall_score,precision_score,f1_score,confusion_matrix,round_number,site_number
0.6496086694762191,0.6250364608653378,0.4297520661157025,0.65,0.5174129353233831,"[[767 168]
 [414 312]]",1,1
0.6713286713286714,0.6621598342528575,0.5395348837209303,0.6833578792341679,0.6029889538661469,"[[784 215]
 [396 464]]",1,2
0.6645927601809954,0.6535075094397129,0.5697522816166884,0.6242857142857143,0.5957736877982277,"[[738 263]
 [330 437]]",1,3
0.657673860911271,0.6470073539227693,0.5358090185676393,0.6464,0.5859318346627992,"[[693 221]
 [350 404]]",1,4
0.664,0.6631578089155357,0.657010428736964,0.601272534464475,0.627906976744186,"[[761 376]
 [296 567]]",1,5
0.6651123357354811,0.6553830870573556,0.5725264169068204,0.6333687566418703,0.6014127144298688,"[[973 345]
 [445 596]]",2,1
0.6618110236220472,0.653530604719764,0.53125,0.6741693461950696,0.5942371280113369,"[[1052  304]
 [ 555  629]]",2,2
0.6779315960912052,0.668848372718863,0.5929694727104533,0.6461693548387096,0.6184273999035215,"[[1024  351]
 [ 440  641]]",2,3
0.6600963644327639,0.6490000247136308,0.5090390104662227,0.6729559748427673,0.5796316359696642,"[[972 260]
 [516 535]]",2,4
0.672066234701224,0.6636992540359056,0.5941080196399345,0.6362839614373357,0.6144731273804487,"[[1141  415]
 [ 496  726]]",2,5
0.6623946037099494,0.667193775726293,0.7068303914044513,0.5980519480519481,0.6479071403447063,"[[1043  619]
 [ 382  921]]",3,1
0.6728395061728395,0.6638172122665509,0.5321404903909874,0.6940363007778738,0.6024006001500375,"[[1377  354]
 [ 706  803]]",3,2
0.6819923371647509,0.6785605412657096,0.6420014094432699,0.6511794138670479,0.6465578424414479,"[[1225  488]
 [ 508  911]]",3,3
0.6502751031636864,0.6405783201963207,0.5063009636767977,0.660541586073501,0.5732270247587076,"[[1208  351]
 [ 666  683]]",3,4
0.6608471665712651,0.6576802051932942,0.6237373737373737,0.6265060240963856,0.6251186333438785,"[[1321  589]
 [ 596  988]]",3,5
0.665927363459939,0.6492336171098281,0.4833538840937115,0.6811468288444831,0.565452578434908,"[[1618  367]
 [ 838  784]]",4,1
0.6546246477068921,0.6459296411624367,0.5178669598680594,0.6666666666666666,0.582920792079208,"[[1613  471]
 [ 877  942]]",4,2
0.6708333333333333,0.6689907929333969,0.6455624646693047,0.6419336706014614,0.6437429537767756,"[[1434  637]
 [ 627 1142]]",4,3
0.6463516913614761,0.6395404773903881,0.5282906491959499,0.6522058823529412,0.5837446528463309,"[[1425  473]
 [ 792  887]]",4,4
0.6668244202555608,0.6645595921442495,0.6342710997442456,0.6414899120538023,0.6378600823045267,"[[1578  693]
 [ 715 1240]]",4,5
0.6619718309859155,0.6501134085950302,0.5256875973015049,0.6582196231319039,0.5845354875937679,"[[1807  526]
 [ 914 1013]]",5,1
0.6491495856955953,0.6491039447053881,0.6483720930232558,0.6203827325322653,0.6340686831930862,"[[1583  853]
 [ 756 1394]]",5,2
0.6621953945897607,0.6643620664871597,0.6978967495219885,0.6241983753740915,0.6589934552019859,"[[1502  879]
 [ 632 1460]]",5,3
0.6519876219947631,0.6449055263912814,0.513839959738299,0.6730388925510876,0.5827625570776256,"[[1718  496]
 [ 966 1021]]",5,4
0.6638655462184874,0.6613981752172592,0.6197362824330073,0.6495764600980829,0.6343056160208969,"[[1861  786]
 [ 894 1457]]",5,5
